Date,Open,High,Low,Close,Volume
6-Oct-17,4.18,4.29,4.16,4.24,12567121
5-Oct-17,4.27,4.39,4.25,4.27,19604428
4-Oct-17,4.40,4.49,4.23,4.27,21054234
3-Oct-17,4.41,4.45,4.32,4.38,11413338
2-Oct-17,4.46,4.56,4.37,4.43,14008396
29-Sep-17,4.54,4.63,4.53,4.58,15015367
28-Sep-17,4.56,4.72,4.50,4.51,19359329
27-Sep-17,4.38,4.52,4.34,4.50,15740907
26-Sep-17,4.25,4.39,4.20,4.37,12168822
25-Sep-17,4.35,4.43,4.20,4.26,16444181
22-Sep-17,4.14,4.27,4.11,4.26,13427097
21-Sep-17,4.09,4.18,4.00,4.14,15976883
20-Sep-17,4.19,4.21,4.03,4.06,26047315
19-Sep-17,4.44,4.45,4.12,4.14,21581455
18-Sep-17,4.40,4.48,4.30,4.43,13546750
15-Sep-17,4.39,4.48,4.25,4.42,18093572
14-Sep-17,4.41,4.58,4.39,4.42,24879097
13-Sep-17,4.23,4.49,4.22,4.37,22394139
12-Sep-17,4.00,4.21,3.99,4.19,13999708
11-Sep-17,4.00,4.03,3.93,3.99,11425717
8-Sep-17,4.05,4.11,3.90,3.98,14305319
7-Sep-17,4.18,4.22,4.05,4.08,15602471
6-Sep-17,4.13,4.30,4.12,4.18,29481816
5-Sep-17,4.07,4.17,4.05,4.11,16059132
1-Sep-17,3.85,4.06,3.82,4.01,13066194
31-Aug-17,3.81,3.93,3.73,3.83,16847566
30-Aug-17,3.91,3.92,3.71,3.79,13344411
29-Aug-17,3.87,3.95,3.81,3.95,6827673
28-Aug-17,3.97,3.99,3.77,3.91,12687814
25-Aug-17,3.90,4.00,3.87,3.97,6253785
24-Aug-17,3.86,3.91,3.82,3.90,6260745
23-Aug-17,3.80,3.95,3.79,3.91,8300467
22-Aug-17,3.88,3.91,3.81,3.82,15317369
21-Aug-17,4.01,4.01,3.84,3.86,10022679
18-Aug-17,3.89,4.04,3.83,4.01,12064345
17-Aug-17,3.86,3.94,3.83,3.86,11761232
16-Aug-17,3.92,4.03,3.86,3.91,12124466
15-Aug-17,3.96,3.98,3.85,3.90,9983763
14-Aug-17,3.96,4.06,3.84,4.00,14435458
11-Aug-17,3.90,4.00,3.88,3.95,9309511
10-Aug-17,4.05,4.10,3.90,3.95,12474847
9-Aug-17,4.13,4.17,3.96,4.03,19075429
8-Aug-17,4.28,4.30,4.07,4.11,15084493
7-Aug-17,4.30,4.34,4.24,4.25,9522303
4-Aug-17,4.40,4.44,4.33,4.35,12086266
3-Aug-17,4.50,4.55,4.34,4.40,18323763
2-Aug-17,4.46,4.54,4.30,4.48,18318690
1-Aug-17,4.40,4.54,4.35,4.52,27703365
31-Jul-17,-,4.56,-,4.46,20149709
28-Jul-17,4.40,4.72,4.26,4.27,23638968
27-Jul-17,4.33,4.40,4.23,4.38,17737263
26-Jul-17,4.42,4.52,4.32,4.37,17552878
25-Jul-17,4.27,4.43,4.26,4.34,16335024
24-Jul-17,4.43,4.44,4.18,4.22,16051378
21-Jul-17,4.43,4.49,4.31,4.38,15958798
20-Jul-17,4.59,4.68,4.39,4.48,22576431
19-Jul-17,4.22,4.60,4.20,4.55,20667293
18-Jul-17,4.33,4.34,4.18,4.23,15931634
17-Jul-17,4.20,4.38,4.19,4.29,22571226
14-Jul-17,4.13,4.21,4.03,4.19,16338372
13-Jul-17,3.84,4.15,3.76,4.13,39727232
12-Jul-17,3.85,3.89,3.71,3.86,21307798
11-Jul-17,3.69,3.79,3.57,3.75,15256863
10-Jul-17,3.52,3.74,3.48,3.73,19549783
7-Jul-17,3.54,3.55,3.39,3.53,27411554
6-Jul-17,3.97,3.99,3.56,3.59,28918056
5-Jul-17,3.98,3.99,3.83,3.95,19525646
3-Jul-17,3.88,4.03,3.88,4.00,9288455
30-Jun-17,3.84,3.92,3.70,3.87,22165879
29-Jun-17,3.78,3.89,3.77,3.85,21710020
28-Jun-17,3.83,3.90,3.76,3.77,18937935
